Open time	Open	High	Low	Close	Volume
2025-01-30 18:00:00	0.31432	0.31717	0.3134	0.3159	15917270.0
2025-01-30 19:00:00	0.3159	0.31599	0.31375	0.3159	11024312.0
2025-01-30 20:00:00	0.3159	0.31603	0.31299	0.31511	14545210.0
2025-01-30 21:00:00	0.31512	0.31524	0.30999	0.31234	27212567.0
2025-01-30 22:00:00	0.31234	0.3143	0.31066	0.31272	24596488.0
2025-01-30 23:00:00	0.31272	0.31729	0.31206	0.31651	23135477.0
2025-01-31 00:00:00	0.3165	0.32174	0.31569	0.31868	41850688.0
2025-01-31 01:00:00	0.31868	0.3223	0.31797	0.31882	36349946.0
2025-01-31 02:00:00	0.31882	0.32095	0.3166	0.31755	30278488.0
2025-01-31 03:00:00	0.31756	0.3182	0.31438	0.31767	18581784.0
2025-01-31 04:00:00	0.31768	0.3198	0.31574	0.3192	13462332.0
2025-01-31 05:00:00	0.31919	0.31954	0.31568	0.31774	15911169.0
2025-01-31 06:00:00	0.31774	0.32269	0.31732	0.31926	51578884.0
2025-01-31 07:00:00	0.31924	0.32108	0.31726	0.31742	19051971.0
2025-01-31 08:00:00	0.31742	0.32005	0.31569	0.31575	15279832.0
2025-01-31 09:00:00	0.31575	0.31659	0.31265	0.31391	27435150.0
2025-01-31 10:00:00	0.3139	0.31424	0.311	0.31241	22420536.0
2025-01-31 11:00:00	0.31242	0.31377	0.30943	0.31017	18259686.0
2025-01-31 12:00:00	0.31016	0.31016	0.30788	0.30851	20355151.0
2025-01-31 13:00:00	0.3085	0.30853	0.30543	0.30585	14761957.0
2025-01-31 14:00:00	0.30586	0.3094	0.30572	0.30926	12708619.0
2025-01-31 15:00:00	0.30929	0.31222	0.30866	0.31182	14552068.0
2025-01-31 16:00:00	0.31182	0.31512	0.3103	0.31135	21820022.0
2025-01-31 17:00:00	0.31134	0.3121	0.30858	0.3089	13220806.0
2025-01-31 18:00:00	0.30891	0.31336	0.30855	0.31283	17439978.0
