Open time	Open	High	Low	Close	Volume
2025-01-30 18:00:00	0.9578	0.9669	0.957	0.9629	10279575.0
2025-01-30 19:00:00	0.9629	0.9633	0.9584	0.9618	9589811.0
2025-01-30 20:00:00	0.9617	0.9651	0.9582	0.9633	8498826.0
2025-01-30 21:00:00	0.9633	0.9643	0.9522	0.9551	15691615.0
2025-01-30 22:00:00	0.9551	0.964	0.9504	0.9604	23187892.0
2025-01-30 23:00:00	0.9603	0.9796	0.9583	0.9777	36976928.0
2025-01-31 00:00:00	0.9777	0.9882	0.9747	0.9757	44249523.0
2025-01-31 01:00:00	0.9757	0.9804	0.9703	0.9711	18710098.0
2025-01-31 02:00:00	0.9711	0.9721	0.9655	0.9684	17845045.0
2025-01-31 03:00:00	0.9684	0.9743	0.9638	0.9688	15636722.0
2025-01-31 04:00:00	0.9688	0.9698	0.9613	0.9681	12137690.0
2025-01-31 05:00:00	0.9681	0.9702	0.958	0.9611	14890223.0
2025-01-31 06:00:00	0.9611	0.9661	0.9607	0.9629	7809875.0
2025-01-31 07:00:00	0.9628	0.9685	0.9601	0.9654	6803805.0
2025-01-31 08:00:00	0.9654	0.9688	0.9588	0.9591	7089185.0
2025-01-31 09:00:00	0.9592	0.9619	0.9511	0.9556	20835896.0
2025-01-31 10:00:00	0.9555	0.9575	0.9466	0.9519	17373956.0
2025-01-31 11:00:00	0.9518	0.9519	0.9427	0.9437	14640384.0
2025-01-31 12:00:00	0.9436	0.9439	0.9376	0.9429	16767678.0
2025-01-31 13:00:00	0.9429	0.943	0.9355	0.9364	10705585.0
2025-01-31 14:00:00	0.9364	0.9472	0.936	0.946	11158891.0
2025-01-31 15:00:00	0.9459	0.9559	0.945	0.9554	16405753.0
2025-01-31 16:00:00	0.9555	0.9642	0.95	0.9511	25699511.0
2025-01-31 17:00:00	0.9511	0.9519	0.9435	0.9466	13954644.0
2025-01-31 18:00:00	0.9467	0.9573	0.9452	0.9561	17572250.0
2025-01-31 19:00:00	0.9561	0.9582	0.95	0.954	9138688.0
2025-01-31 20:00:00	0.954	0.9763	0.9533	0.974	28615220.0
2025-01-31 21:00:00	0.9739	0.9796	0.9712	0.9755	24705725.0
2025-01-31 22:00:00	0.9756	0.981	0.9678	0.9703	27036527.0
2025-01-31 23:00:00	0.9704	0.9768	0.963	0.9684	30000057.0
2025-02-01 00:00:00	0.9684	0.9834	0.9682	0.9789	31166136.0
2025-02-01 01:00:00	0.9788	0.9832	0.9673	0.9728	22000483.0
2025-02-01 02:00:00	0.9729	0.9731	0.9609	0.9638	14806224.0
2025-02-01 03:00:00	0.9638	0.9684	0.9431	0.9485	40857440.0
2025-02-01 04:00:00	0.9485	0.9583	0.945	0.9458	25155434.0
2025-02-01 05:00:00	0.9458	0.9473	0.9342	0.9427	31331929.0
2025-02-01 06:00:00	0.9426	0.9475	0.9345	0.9473	20210222.0
2025-02-01 07:00:00	0.9474	0.95	0.941	0.9432	13698102.0
2025-02-01 08:00:00	0.9431	0.9439	0.9384	0.9422	9669867.0
2025-02-01 09:00:00	0.9422	0.9485	0.9384	0.9483	13174100.0
2025-02-01 10:00:00	0.9482	0.9547	0.9477	0.9494	12842714.0
2025-02-01 11:00:00	0.9494	0.957	0.9474	0.9559	10383254.0
2025-02-01 12:00:00	0.956	0.9568	0.9426	0.945	10134675.0
2025-02-01 13:00:00	0.9449	0.9493	0.9431	0.9452	8827009.0
2025-02-01 14:00:00	0.9452	0.955	0.9443	0.9522	7944882.0
2025-02-01 15:00:00	0.9522	0.9523	0.9405	0.9454	7617468.0
2025-02-01 16:00:00	0.9454	0.948	0.936	0.9373	10616983.0
2025-02-01 17:00:00	0.9372	0.9394	0.9286	0.9342	20769670.0
2025-02-01 18:00:00	0.9342	0.9346	0.9182	0.9228	21984765.0
2025-02-01 19:00:00	0.9228	0.9301	0.9218	0.9233	14834772.0
2025-02-01 20:00:00	0.9233	0.9324	0.9222	0.9323	11257499.0
2025-02-01 21:00:00	0.9324	0.9361	0.9293	0.9335	11932756.0
2025-02-01 22:00:00	0.9336	0.936	0.9224	0.9239	13547500.0
2025-02-01 23:00:00	0.9238	0.9304	0.922	0.9227	17072570.0
2025-02-02 00:00:00	0.9227	0.9291	0.9173	0.9267	18918233.0
2025-02-02 01:00:00	0.9268	0.9317	0.922	0.9228	11628598.0
2025-02-02 02:00:00	0.9228	0.9326	0.9227	0.9301	10925480.0
2025-02-02 03:00:00	0.9301	0.9304	0.9192	0.9204	14089316.0
2025-02-02 04:00:00	0.9205	0.9209	0.9075	0.9136	24685040.0
2025-02-02 05:00:00	0.9136	0.9144	0.9026	0.9114	28798801.0
2025-02-02 06:00:00	0.9114	0.9184	0.9049	0.9077	16188136.0
2025-02-02 07:00:00	0.9076	0.9114	0.8983	0.9025	23022095.0
2025-02-02 08:00:00	0.9025	0.9032	0.8868	0.8941	41797856.0
2025-02-02 09:00:00	0.8941	0.9108	0.8927	0.9074	23648123.0
2025-02-02 10:00:00	0.9074	0.9107	0.9046	0.9063	10724823.0
2025-02-02 11:00:00	0.9062	0.9064	0.8854	0.8863	23800719.0
2025-02-02 12:00:00	0.8864	0.8913	0.8657	0.8676	62994800.0
2025-02-02 13:00:00	0.8675	0.8804	0.8651	0.8749	23135420.0
2025-02-02 14:00:00	0.8749	0.891	0.874	0.8891	22886018.0
2025-02-02 15:00:00	0.8891	0.8954	0.8868	0.8905	22406914.0
2025-02-02 16:00:00	0.8906	0.8906	0.8746	0.8796	25895176.0
2025-02-02 17:00:00	0.8795	0.897	0.8772	0.8911	23101347.0
2025-02-02 18:00:00	0.891	0.8952	0.886	0.8946	14551174.0
2025-02-02 19:00:00	0.8945	0.8949	0.8806	0.8858	15569617.0
2025-02-02 20:00:00	0.8858	0.8888	0.8632	0.8687	32548248.0
2025-02-02 21:00:00	0.8686	0.8785	0.8576	0.8583	31979286.0
2025-02-02 22:00:00	0.8583	0.8763	0.858	0.8763	31032768.0
2025-02-02 23:00:00	0.8762	0.8823	0.8724	0.8727	21030633.0
2025-02-03 00:00:00	0.8728	0.8728	0.8579	0.8698	26905011.0
2025-02-03 01:00:00	0.8699	0.8703	0.8279	0.8346	74264791.0
2025-02-03 02:00:00	0.8347	0.8387	0.7935	0.8026	150590057.0
2025-02-03 03:00:00	0.8027	0.8216	0.7926	0.7961	115220615.0
2025-02-03 04:00:00	0.7962	0.8248	0.785	0.8152	93785403.0
2025-02-03 05:00:00	0.8152	0.8266	0.8061	0.8103	39366496.0
2025-02-03 06:00:00	0.8104	0.8133	0.7884	0.7926	50451593.0
2025-02-03 07:00:00	0.7926	0.8094	0.7501	0.7936	83890127.0
2025-02-03 08:00:00	0.7935	0.8042	0.7612	0.8042	117275739.0
2025-02-03 09:00:00	0.8042	0.8044	0.7291	0.7646	194787379.0
2025-02-03 10:00:00	0.7646	0.773	0.6023	0.6267	312073227.0
2025-02-03 11:00:00	0.6268	0.6398	0.5092	0.6234	499245018.0
2025-02-03 12:00:00	0.6234	0.6748	0.6215	0.6595	196794578.0
2025-02-03 13:00:00	0.6596	0.6738	0.6257	0.6302	154512891.0
2025-02-03 14:00:00	0.6304	0.6823	0.6297	0.682	90308064.0
2025-02-03 15:00:00	0.6821	0.6919	0.6663	0.6859	85870699.0
2025-02-03 16:00:00	0.6859	0.7202	0.6822	0.7177	97061258.0
2025-02-03 17:00:00	0.7178	0.7179	0.6824	0.6968	95928008.0
2025-02-03 18:00:00	0.6967	0.7119	0.6828	0.691	97854745.0
2025-02-03 19:00:00	0.691	0.7186	0.69	0.7155	73112411.0
2025-02-03 20:00:00	0.7156	0.7186	0.7024	0.7118	54664788.0
2025-02-03 21:00:00	0.7118	0.7264	0.7053	0.7069	72951639.0
2025-02-03 22:00:00	0.707	0.714	0.6896	0.6966	76886817.0
2025-02-03 23:00:00	0.6966	0.7275	0.6725	0.7226	216564767.0
2025-02-04 00:00:00	0.7225	0.771	0.7128	0.7642	191529887.0
2025-02-04 01:00:00	0.7642	0.7769	0.7546	0.763	103126413.0
2025-02-04 02:00:00	0.7631	0.781	0.7551	0.777	79977620.0
2025-02-04 03:00:00	0.7769	0.7848	0.7652	0.7842	59459008.0
2025-02-04 04:00:00	0.7841	0.8035	0.7819	0.8001	71151825.0
2025-02-04 05:00:00	0.8001	0.8002	0.7752	0.7814	60993787.0
2025-02-04 06:00:00	0.7814	0.8076	0.7811	0.8018	34456228.0
2025-02-04 07:00:00	0.8018	0.8239	0.8013	0.818	48559358.0
2025-02-04 08:00:00	0.818	0.8227	0.8024	0.8116	30222667.0
2025-02-04 09:00:00	0.8115	0.8194	0.8024	0.8033	41745822.0
2025-02-04 10:00:00	0.8033	0.8182	0.8007	0.8141	27517344.0
2025-02-04 11:00:00	0.8142	0.8158	0.7925	0.7941	31704462.0
2025-02-04 12:00:00	0.7942	0.7973	0.7851	0.7917	28314376.0
2025-02-04 13:00:00	0.7916	0.7944	0.7771	0.7791	34185321.0
2025-02-04 14:00:00	0.7791	0.7796	0.7394	0.7454	151484500.0
2025-02-04 15:00:00	0.7455	0.7582	0.7447	0.7522	45184992.0
2025-02-04 16:00:00	0.7523	0.753	0.7147	0.7163	74553093.0
2025-02-04 17:00:00	0.7163	0.7346	0.7163	0.726	70287893.0
2025-02-04 18:00:00	0.7259	0.742	0.7255	0.7343	45490600.0
2025-02-04 19:00:00	0.7342	0.7521	0.7336	0.7455	41946563.0
2025-02-04 20:00:00	0.7454	0.7582	0.7443	0.7465	53423530.0
2025-02-04 21:00:00	0.7465	0.7665	0.7457	0.7598	55013942.0
2025-02-04 22:00:00	0.7598	0.7671	0.7501	0.753	51730882.0
2025-02-04 23:00:00	0.7531	0.7776	0.7466	0.7704	94837920.0
2025-02-05 00:00:00	0.7704	0.7745	0.7477	0.7579	79049498.0
2025-02-05 01:00:00	0.7579	0.7693	0.7545	0.7581	38365183.0
2025-02-05 02:00:00	0.7582	0.7665	0.7492	0.7557	37987416.0
2025-02-05 03:00:00	0.7556	0.7663	0.7522	0.7631	32614442.0
2025-02-05 04:00:00	0.763	0.7889	0.7515	0.7517	82902018.0
2025-02-05 05:00:00	0.7517	0.7616	0.7387	0.7464	88774663.0
