Open time	Open	High	Low	Close	Volume	EMA_fast	EMA_slow	SMA_short	SMA_mid	SMA_long	RSI
2025-02-25 19:45:00	2.1407	2.1439	2.121	2.1286	18804602.4						
2025-02-25 20:00:00	2.1288	2.1292	2.0854	2.0961	29954366.9						
2025-02-25 20:15:00	2.096	2.0963	2.0631	2.0751	38406963.3						
2025-02-25 20:30:00	2.0752	2.1346	2.074	2.1331	36311029.1						
2025-02-25 20:45:00	2.1332	2.2042	2.1299	2.1871	68373719.4						
2025-02-25 21:00:00	2.1871	2.2233	2.1712	2.2067	46780125.9						
2025-02-25 21:15:00	2.2066	2.2433	2.1983	2.2225	50865296.5			2.1499			
2025-02-25 21:30:00	2.2224	2.2249	2.2034	2.2097	26992401.9			2.1615			
2025-02-25 21:45:00	2.2098	2.2704	2.2092	2.2703	33261522.7			2.1864			
2025-02-25 22:00:00	2.2703	2.2768	2.2366	2.2571	44916391.2			2.2124			
2025-02-25 22:15:00	2.2572	2.2597	2.2277	2.2292	23237194.6			2.2261			64.309
2025-02-25 22:30:00	2.2292	2.2416	2.2156	2.2345	26427007.8			2.2329			65.3388
2025-02-25 22:45:00	2.2344	2.2466	2.2211	2.2219	13210182.6			2.235			60.7115
2025-02-25 23:00:00	2.2218	2.2418	2.216	2.2395	14816254.7			2.2375			64.6022
2025-02-25 23:15:00	2.2396	2.2538	2.2066	2.2245	22186522.8			2.2396	2.1957		59.0634
2025-02-25 23:30:00	2.2246	2.2432	2.1951	2.2026	33304113.0			2.2299	2.2007		51.8517
2025-02-25 23:45:00	2.2026	2.207	2.1631	2.1737	57512847.6			2.218	2.2058		43.9781
2025-02-26 00:00:00	2.1737	2.1931	2.1565	2.1793	38365596.3			2.2109	2.2128		45.7516
2025-02-26 00:15:00	2.1796	2.1986	2.1561	2.1696	38086640.7			2.2016	2.2152		43.1241
2025-02-26 00:30:00	2.1696	2.2094	2.1603	2.1946	31518285.3	2.1928		2.1977	2.2157		51.1569
2025-02-26 00:45:00	2.1946	2.2319	2.1933	2.2059	28213519.9	2.194		2.1929	2.2157		54.392
2025-02-26 01:00:00	2.2059	2.2133	2.184	2.2007	22301991.8	2.1947		2.1895	2.2142		52.6103
2025-02-26 01:15:00	2.2007	2.2014	2.172	2.1778	16445037.2	2.1931		2.1859	2.2121		45.3427
